timestamp,source_ip,destination_ip,protocol,length,eth_src_mac,eth_dst_mac,eth_type,ip_version,ip_ttl,ip_flags,app_protocol,src_port,dst_port,tcp_flags,source,destination,prediction,distance
2025-04-13 19:44:49,168.95.246.1,192.168.178.91,ICMP,58,2c:91:ab:d1:09:4b,,IPv4 (0x0800),,54,,ICMP,,,,168.95.246.1,192.168.178.91,normal,1.675517317601943
2025-04-13 19:44:49,,,HOMEPLUG-AV,60,2c:91:ab:d1:09:4b,,Homeplug AV (0x88e1),,,,HOMEPLUG,,,,,,normal,1.291256903972879
2025-04-13 19:44:49,,,DATA,60,2c:91:ab:d1:09:4b,,Unknown (0x8912),,,,,,,,,,normal,1.2930868450820174
2025-04-13 19:44:49,192.168.178.91,20.42.73.26,TLS,172,20:0b:74:19:ee:af,,IPv4 (0x0800),,128,,TLS,,443,"0x018 (PSH, ACK)",192.168.178.91,20.42.73.26,normal,1.294754896104663
2025-04-13 19:44:49,192.168.178.91,20.42.73.26,TLS,93,20:0b:74:19:ee:af,,IPv4 (0x0800),,128,,TLS,,443,"0x018 (PSH, ACK)",192.168.178.91,20.42.73.26,normal,1.2902901531081323
2025-04-13 19:44:49,192.168.178.91,20.42.73.26,TLS,1494,20:0b:74:19:ee:af,,IPv4 (0x0800),,128,,TLS,,443,0x010 (ACK),192.168.178.91,20.42.73.26,normal,1.6342753534291634
2025-04-13 19:44:49,192.168.178.91,20.42.73.26,TCP,1494,20:0b:74:19:ee:af,,IPv4 (0x0800),,128,,,,443,0x010 (ACK),192.168.178.91,20.42.73.26,normal,1.9829343887356703
2025-04-13 19:44:49,192.168.178.91,20.42.73.26,TLS,1438,20:0b:74:19:ee:af,,IPv4 (0x0800),,128,,,,443,"0x018 (PSH, ACK)",192.168.178.91,20.42.73.26,normal,1.6115591807226544
2025-04-13 19:44:49,20.42.73.26,192.168.178.91,TLS,93,2c:91:ab:d1:09:4e,,IPv4 (0x0800),,110,,TLS,,54451,"0x018 (PSH, ACK)",20.42.73.26,192.168.178.91,normal,1.2889582579087755
2025-04-13 19:44:49,20.42.73.26,192.168.178.91,TCP,54,2c:91:ab:d1:09:4e,,IPv4 (0x0800),,110,,,,54451,0x010 (ACK),20.42.73.26,192.168.178.91,normal,1.706124646353811
2025-04-13 19:44:49,20.42.73.26,192.168.178.91,TCP,54,2c:91:ab:d1:09:4e,,IPv4 (0x0800),,110,,,,54451,0x010 (ACK),20.42.73.26,192.168.178.91,normal,1.7070770047957773
2025-04-13 19:44:49,20.42.73.26,192.168.178.91,TCP,54,2c:91:ab:d1:09:4e,,IPv4 (0x0800),,110,,,,54451,0x010 (ACK),20.42.73.26,192.168.178.91,normal,1.7066481312910926
